pair,slot,algorithm,our_cost,nx_cost,verdict
115,07:30,astar,739.272214,739.272214,PASS
116,07:30,ucs,427.425875,427.425875,PASS
116,07:30,astar,427.425875,427.425875,PASS
117,07:30,ucs,472.507768,472.507768,PASS
117,07:30,astar,472.507768,472.507768,PASS
118,07:30,ucs,888.199804,888.199804,PASS
118,07:30,astar,888.199804,888.199804,PASS
119,07:30,ucs,547.311750,547.311750,PASS
119,07:30,astar,547.311750,547.311750,PASS
120,07:30,ucs,574.629286,574.629286,PASS
120,07:30,astar,574.629286,574.629286,PASS
121,07:30,ucs,594.618125,594.618125,PASS
121,07:30,astar,594.618125,594.618125,PASS
122,07:30,ucs,957.540982,957.540982,PASS
122,07:30,astar,957.540982,957.540982,PASS
123,07:30,ucs,392.892929,392.892929,PASS
123,07:30,astar,392.892929,392.892929,PASS
124,07:30,ucs,425.093250,425.093250,PASS
124,07:30,astar,425.093250,425.093250,PASS
125,07:30,ucs,406.203536,406.203536,PASS
125,07:30,astar,406.203536,406.203536,PASS
126,07:30,ucs,620.020750,620.020750,PASS
126,07:30,astar,620.020750,620.020750,PASS
127,07:30,ucs,719.811143,719.811143,PASS
127,07:30,astar,719.811143,719.811143,PASS
128,07:30,ucs,772.030000,772.030000,PASS
128,07:30,astar,772.030000,772.030000,PASS
129,07:30,ucs,770.964018,770.964018,PASS
129,07:30,astar,770.964018,770.964018,PASS
130,07:30,ucs,986.824679,986.824679,PASS
130,07:30,astar,986.824679,986.824679,PASS
131,07:30,ucs,1087.681304,1087.681304,PASS
131,07:30,astar,1087.681304,1087.681304,PASS
132,07:30,ucs,401.553964,401.553964,PASS
132,07:30,astar,401.553964,401.553964,PASS
133,07:30,ucs,752.334143,752.334143,PASS
133,07:30,astar,752.334143,752.334143,PASS
134,07:30,ucs,344.862214,344.862214,PASS
134,07:30,astar,344.862214,344.862214,PASS
135,07:30,ucs,378.842786,378.842786,PASS
135,07:30,astar,378.842786,378.842786,PASS
136,07:30,ucs,449.968375,449.968375,PASS
136,07:30,astar,449.968375,449.968375,PASS
137,07:30,ucs,595.216500,595.216500,PASS
137,07:30,astar,595.216500,595.216500,PASS
138,07:30,ucs,452.782571,452.782571,PASS
138,07:30,astar,452.782571,452.782571,PASS
139,07:30,ucs,402.375000,402.375000,PASS
139,07:30,astar,402.375000,402.375000,PASS
140,07:30,ucs,351.837500,351.837500,PASS
140,07:30,astar,351.837500,351.837500,PASS
141,07:30,ucs,255.915000,255.915000,PASS
141,07:30,astar,255.915000,255.915000,PASS
142,07:30,ucs,937.660429,937.660429,PASS
142,07:30,astar,937.660429,937.660429,PASS
143,07:30,ucs,536.966446,536.966446,PASS
143,07:30,astar,536.966446,536.966446,PASS
144,07:30,ucs,372.825000,372.825000,PASS
144,07:30,astar,372.825000,372.825000,PASS
145,07:30,ucs,635.423089,635.423089,PASS
145,07:30,astar,635.423089,635.423089,PASS
146,07:30,ucs,629.917054,629.917054,PASS
146,07:30,astar,629.917054,629.917054,PASS
147,07:30,ucs,601.822554,601.822554,PASS
147,07:30,astar,601.822554,601.822554,PASS
148,07:30,ucs,655.327875,655.327875,PASS
148,07:30,astar,655.327875,655.327875,PASS
149,07:30,ucs,381.541000,381.541000,PASS
149,07:30,astar,381.541000,381.541000,PASS
150,07:30,ucs,637.083321,637.083321,PASS
150,07:30,astar,637.083321,637.083321,PASS
151,07:30,ucs,844.709661,844.709661,PASS
151,07:30,astar,844.709661,844.709661,PASS
152,07:30,ucs,630.930804,630.930804,PASS
152,07:30,astar,630.930804,630.930804,PASS
153,07:30,ucs,397.410250,397.410250,PASS
153,07:30,astar,397.410250,397.410250,PASS
154,07:30,ucs,497.940250,497.940250,PASS
154,07:30,astar,497.940250,497.940250,PASS
155,07:30,ucs,602.664875,602.664875,PASS
155,07:30,astar,602.664875,602.664875,PASS
156,07:30,ucs,952.155929,952.155929,PASS
156,07:30,astar,952.155929,952.155929,PASS
157,07:30,ucs,521.197000,521.197000,PASS
157,07:30,astar,521.197000,521.197000,PASS
158,07:30,ucs,596.745000,596.745000,PASS
158,07:30,astar,596.745000,596.745000,PASS
159,07:30,ucs,929.539375,929.539375,PASS
159,07:30,astar,929.539375,929.539375,PASS
160,07:30,ucs,614.387946,614.387946,PASS
160,07:30,astar,614.387946,614.387946,PASS
161,07:30,ucs,354.620000,354.620000,PASS
161,07:30,astar,354.620000,354.620000,PASS
162,07:30,ucs,359.709607,359.709607,PASS
162,07:30,astar,359.709607,359.709607,PASS
163,07:30,ucs,514.371571,514.371571,PASS
163,07:30,astar,514.371571,514.371571,PASS
164,07:30,ucs,771.418214,771.418214,PASS
164,07:30,astar,771.418214,771.418214,PASS
165,07:30,ucs,674.011000,674.011000,PASS
165,07:30,astar,674.011000,674.011000,PASS
166,07:30,ucs,782.083375,782.083375,PASS
166,07:30,astar,782.083375,782.083375,PASS
167,07:30,ucs,827.481161,827.481161,PASS
167,07:30,astar,827.481161,827.481161,PASS
168,07:30,ucs,416.287250,416.287250,PASS
168,07:30,astar,416.287250,416.287250,PASS
169,07:30,ucs,757.834804,757.834804,PASS
169,07:30,astar,757.834804,757.834804,PASS
170,07:30,ucs,1199.782500,1199.782500,PASS
170,07:30,astar,1199.782500,1199.782500,PASS
171,07:30,ucs,778.743304,778.743304,PASS
171,07:30,astar,778.743304,778.743304,PASS
172,07:30,ucs,422.875964,422.875964,PASS
172,07:30,astar,422.875964,422.875964,PASS
